Date,Exercise,Category,Weight,Weight Unit,Reps,Distance,Distance Unit,Time
2025-05-03,Lat Pulldown,Back,35.0,kgs,9,,,
2025-05-03,Lat Pulldown,Back,35.0,kgs,8,,,
2025-05-03,Lat Pulldown,Back,30.0,kgs,8,,,
2025-05-03,Barbell Curl,Biceps,10.0,kgs,15,,,
2025-05-03,Barbell Curl,Biceps,10.0,kgs,12,,,
2025-05-03,Dumbbell Preacher Curl (Each Side),Biceps,5.0,kgs,12,,,
2025-05-03,Dumbbell Preacher Curl (Each Side),Biceps,5.0,kgs,12,,,
2025-05-03,Dumbbell Preacher Curl (Each Side),Biceps,5.0,kgs,12,,,
2025-05-03,Dumbbell Hammer Curl (Each Side),Biceps,5.0,kgs,12,,,
2025-05-03,Dumbbell Hammer Curl (Each Side),Biceps,5.0,kgs,12,,,
2025-05-03,Dumbbell Hammer Curl (Each Side),Biceps,5.0,kgs,12,,,
2025-05-04,Leg Extension Machine,Legs,30.0,kgs,12,,,
2025-05-04,Leg Extension Machine,Legs,40.0,kgs,12,,,
2025-05-04,Leg Extension Machine,Legs,45.0,kgs,12,,,
2025-05-04,Leg Extension Machine,Legs,50.0,kgs,11,,,
2025-05-04,Lying Leg Curl Machine,Legs,15.0,kgs,12,,,
2025-05-04,Lying Leg Curl Machine,Legs,25.0,kgs,12,,,
2025-05-04,Lying Leg Curl Machine,Legs,25.0,kgs,12,,,
2025-05-04,Lying Leg Curl Machine,Legs,20.0,kgs,12,,,
2025-05-04,Sumo Deadlift,Legs,20.0,kgs,4,,,
2025-05-04,Sumo Deadlift,Legs,20.0,kgs,6,,,
2025-05-04,Sumo Deadlift,Legs,20.0,kgs,6,,,
2025-05-04,Sumo Deadlift,Legs,20.0,kgs,6,,,
2025-05-04,Standing Calf Raise Machine,Legs,20.0,kgs,15,,,
2025-05-04,Standing Calf Raise Machine,Legs,20.0,kgs,15,,,
2025-05-04,Standing Calf Raise Machine,Legs,15.0,kgs,13,,,
2025-05-05,Flat Barbell Bench Press (Each Side) (Smith Machine),Chest,10.0,kgs,10,,,
2025-05-05,Flat Barbell Bench Press (Each Side) (Smith Machine),Chest,10.0,kgs,10,,,
2025-05-05,Flat Barbell Bench Press (Each Side) (Smith Machine),Chest,10.0,kgs,10,,,
2025-05-05,Flat Dumbbell Fly,Chest,7.5,kgs,10,,,
2025-05-05,Flat Dumbbell Fly,Chest,7.5,kgs,10,,,
2025-05-05,Flat Dumbbell Fly,Chest,7.5,kgs,10,,,
2025-05-05,Incline Dumbbell Bench Press,Chest,8.0,kgs,10,,,
